cip2020_title,score,band,employment_weighted_openings,employment_weighted_growth_pct,completions_latest_year,pct_completions_latest_year,pct_employment_weighted_openings,pct_completions_trend_pct,pct_employment_weighted_growth_pct,pct_bls_top30_flag,in_bls_top30_flag,is_finalist,proposed_name
Mathematical Statistics and Probability,69.3,Test,18.01,26.91,171.0,66.9,50.8,59.9,100.0,100.0,t,f,
"Multi-/Interdisciplinary Studies, General",69.1,Test,,,412.0,78.6,,96.1,,0.0,f,f,
"Finance and Financial Management Services, Other",69.1,Test,74.60,14.80,109.0,59.0,80.2,23.8,92.0,100.0,t,f,
Development Economics and International Development,69.1,Test,102.40,4.46,164.0,65.7,91.6,17.2,62.2,100.0,t,f,
Archeology,69.0,Test,105.50,4.49,51.0,46.3,93.4,49.7,64.3,100.0,t,f,
Theatre/Theatre Arts Management,68.9,Test,89.65,4.33,70.0,51.1,85.4,60.3,59.5,100.0,t,f,
Construction Engineering Technology/Technician,68.9,Test,35.68,4.77,711.0,84.4,67.6,87.6,68.0,0.0,f,f,
Social Work,68.8,Test,26.67,5.23,34458.0,99.9,62.1,63.7,71.1,0.0,f,f,
"Anthropology, Other",68.6,Test,105.50,4.49,43.0,43.4,93.4,52.9,64.3,100.0,t,f,
Public/Applied History,68.4,Test,103.62,4.43,109.0,59.0,92.2,25.4,61.6,100.0,t,f,
Nurse Midwife/Nursing Midwifery,68.3,Test,7.90,16.31,481.0,80.3,29.3,75.2,94.1,100.0,t,f,
"Advanced Legal Research/Studies, General",68.3,Test,30.53,4.04,3668.0,95.5,64.7,80.2,55.0,0.0,f,f,
Anatomy,68.2,Test,18.61,12.22,168.0,66.3,51.6,65.3,86.6,100.0,t,f,
Cardiovascular Technology/Technologist,68.2,Test,23.09,14.69,31.0,39.1,59.8,98.2,91.8,100.0,t,f,
Applied Economics,68.2,Test,96.99,5.39,123.0,61.3,87.4,19.3,71.6,100.0,t,f,
Clinical/Medical Social Work,68.1,Test,15.63,8.22,2402.0,93.4,48.7,89.0,80.9,0.0,f,f,
Apparel and Accessories Marketing Operations,68.1,Test,103.26,2.98,30.0,38.4,92.1,84.9,41.3,100.0,t,f,
Operations Research,68.0,Test,8.13,12.01,1047.0,88.3,29.7,64.2,86.2,100.0,t,f,
Family Psychology,67.8,Test,97.51,4.84,46.0,44.4,88.1,52.2,68.3,100.0,t,f,
Emergency Room/Trauma Nursing,67.7,Test,171.31,8.15,24.0,35.7,97.3,39.5,79.4,100.0,t,f,
"Teacher Education and Professional Development, Specific Levels and Methods, Other",67.6,Test,,,4671.0,96.8,,54.1,,0.0,f,f,
Dental Hygiene/Hygienist,67.6,Test,22.15,12.84,104.0,58.3,59.2,61.5,87.8,100.0,t,f,
Demography and Population Studies,67.5,Test,102.49,4.29,80.0,53.0,91.8,35.3,58.3,100.0,t,f,
Occupational Health and Industrial Hygiene,67.5,Test,22.08,15.28,119.0,60.5,58.9,52.1,92.4,100.0,t,f,
Long Term Care Administration/Management,67.4,Test,62.10,23.20,17.0,30.9,77.4,66.5,99.5,100.0,t,f,
Behavioral Sciences,67.4,Test,14.88,5.56,1862.0,92.2,47.5,97.4,72.4,0.0,f,f,
Engineering/Industrial Management,67.3,Test,19.94,6.37,5539.0,97.3,54.1,70.8,75.0,0.0,f,f,
