cip2020_code,cip2020_title,latest_year,completions_latest_year,trend_earliest_year,completions_trend_pct,matched_soc_codes,n_socs_used,employment_weighted_openings,employment_weighted_growth_pct,in_bls_top30_flag,already_offered_by_vanderbilt
15.1001,Construction Engineering Technology/Technician,2024,711.0,2012,333.5,"11-9021, 13-1051, 17-3022",3,35.68,4.77,f,f
15.1102,Surveying Technology/Surveying,2024,1.0,2012,-91.7,"17-3031, 17-1022, 17-3019",3,5.22,2.99,f,f
15.1199,"Engineering-Related Technologies/Technicians, Other",2024,0.0,2019,,,0,,,f,f
15.1201,Computer Engineering Technology/Technician,2015,0.0,2012,,"15-1253, 17-3023, 17-3029",3,11.01,5.99,f,f
15.1202,Computer/Computer Systems Technology/Technician,2024,84.0,2012,1100.0,"15-1253, 17-3023, 17-3029",3,11.01,5.99,f,f
15.1204,Computer Software Technology/Technician,2024,10.0,2023,42.9,"15-1252, 15-1253, 15-1251",3,98.49,13.91,t,f
15.1299,"Computer Engineering Technologies/Technicians, Other",2024,0.0,2022,-100.0,17-3029,1,5.70,1.50,f,f
15.1301,"Drafting and Design Technology/Technician, General",2024,145.0,2017,173.6,"17-3011, 17-3013, 17-3012",3,7.33,0.30,f,f
15.1302,CAD/CADD Drafting and/or Design Technology/Technician,2024,43.0,2012,616.7,"17-3011, 17-3013, 17-3012",3,7.33,0.30,f,f
15.1303,Architectural Drafting and Architectural CAD/CADD,2024,64.0,2017,88.2,17-3011,1,10.00,4.10,f,f
15.1307,3-D Modeling and Design Technology/Technician,2024,3.0,2021,,"17-3011, 17-3013, 17-3012",3,7.33,0.30,f,f
15.1401,Nuclear Engineering Technology/Technician,2024,0.0,2016,,"17-3029, 19-4051",2,5.29,0.75,f,f
15.1501,Engineering/Industrial Management,2024,5539.0,2012,96.8,"17-2112, 11-3051, 11-9041",3,19.94,6.37,f,f
15.1502,Engineering Design,2024,150.0,2013,368.8,"11-9041, 17-2199, 25-1032",3,11.30,3.67,f,f
15.1503,Packaging Science,2024,87.0,2012,190.0,"17-2112, 11-9041, 25-1199",3,19.28,6.69,f,f
15.1599,"Engineering-Related Fields, Other",2024,96.0,2013,2300.0,,0,,,f,f
15.1601,Nanotechnology,2024,41.0,2012,412.5,17-2199,1,9.30,2.10,f,f
15.1701,Energy Systems Technology/Technician,2024,44.0,2020,-38.9,"17-3029, 27-1021",2,4.70,2.03,f,f
15.1703,Solar Energy Technology/Technician,2022,3.0,2020,-75.0,"17-3029, 47-2231",2,5.22,13.61,t,f
15.9999,"Engineering/Engineering-Related Technologies/Technicians, Other",2024,336.0,2012,229.4,,0,,,f,f
