occupation_title,soc_code,occupation_type,employment_2024,employment_2034,employment_change_numeric_2024_34,employment_change_percent_2024_34,labor_force_exit_rate_2024_34,occupational_transfer_rate_2024_34,total_separations_rate_2024_34,labor_force_exits_2024_34,occupational_transfers_2024_34,total_separations_2024_34,occupational_openings_2024_34
Lodging managers,11-9081,Line item,52.0,53.8,1.8,3.4,3.9,6.0,9.9,2.0,3.2,5.2,5.4
Medical and health services managers,11-9111,Line item,616.2,759.1,142.9,23.2,2.6,4.3,7.0,18.0,29.8,47.8,62.1
Natural sciences managers,11-9121,Line item,104.3,108.2,3.9,3.7,2.2,5.4,7.6,2.3,5.8,8.1,8.5
Postmasters and mail superintendents,11-9131,Line item,13.1,12.7,-0.5,-3.5,2.9,4.5,7.4,0.4,0.6,1.0,0.9
"Property, real estate, and community association managers",11-9141,Line item,466.1,483.1,17.0,3.6,4.3,3.6,7.9,20.2,17.1,37.3,39.0
Social and community service managers,11-9151,Line item,219.8,233.9,14.1,6.4,3.0,4.5,7.6,6.9,10.2,17.2,18.6
Emergency management directors,11-9161,Line item,13.2,13.6,0.4,3.0,2.9,4.6,7.5,0.4,0.6,1.0,1.0
Funeral home managers,11-9171,Line item,32.1,33.4,1.3,4.1,2.9,4.5,7.4,1.0,1.5,2.4,2.6
"Personal service managers, all other",11-9179,Line item,25.1,26.7,1.6,6.5,2.9,4.5,7.4,0.8,1.2,1.9,2.1
"Managers, all other",11-9199,Line item,1333.7,1393.5,59.8,4.5,2.9,4.5,7.4,39.6,61.1,100.7,106.7
"Agents and business managers of artists, performers, and athletes",13-1011,Line item,21.4,23.2,1.9,8.7,3.7,5.5,9.2,0.8,1.2,2.1,2.2
Buyers and purchasing agents,13-1020,Line item,522.2,552.3,30.1,5.8,3.9,5.2,9.2,21.2,28.1,49.2,52.2
"Claims adjusters, examiners, and investigators",13-1031,Line item,356.1,337.9,-18.2,-5.1,2.5,4.1,6.6,8.8,14.1,22.9,21.1
"Insurance appraisers, auto damage",13-1032,Line item,9.2,8.4,-0.8,-8.2,2.5,4.1,6.6,0.2,0.4,0.6,0.5
Compliance officers,13-1041,Line item,418.0,430.3,12.3,3.0,3.3,4.2,7.6,14.1,17.9,32.0,33.3
Cost estimators,13-1051,Line item,221.4,212.1,-9.3,-4.2,2.8,5.4,8.2,6.2,11.7,17.9,16.9
